,Model,Intercept,Dis Mag Value,Duration,Popdens,rmse,Pop
0,Storm_disp_pct,-0.0056491586421624825,2.4675389570828982e-05,0.0003012567693310532,1.4903260182113026e-05,0.0001,
1,Storm_disp_abs,-21807.484733842997,666.705579318045,-629.8965369017506,55.9314045835023,133241.1205438886,2.6964743369717326e-05
2,Flood_disp_pct,0.001106683595294394,-9.467762448024437e-10,4.32942023568034e-05,5.944205519372499e-07,0.0001,
3,Flood_disp_abs,-198699.40617741944,-0.24536063959882237,18486.97045404363,61.42186438059316,806355.714387827,0.0005935095432505477
