time,co2_emissions,T
1750,,0.0053671258205
1751,,0.034542956270567825
1752,,0.05476786166582169
1753,,0.06704750086607812
1754,,0.07287957676225716
1755,,0.07290366012638262
1756,,0.05589980750762523
1757,,0.038647141377643496
1758,,0.0416357973020786
1759,,0.055778857812696245
1760,,0.07295987765618639
1761,,0.08807027658926928
1762,,0.04207856365382741
1763,,-0.03112148160115757
1764,,-0.050419180613399554
1765,,-0.036406321751331745
1766,,-0.03714605656351233
1767,,-0.05737220691105032
1768,,-0.055920505181146975
1769,,-0.026725248708034992
1770,,0.001164546447229218
1771,,0.021909371841444404
1772,,0.04341475744730887
1773,,0.06207511981561462
1774,,0.07429498029668975
1775,,0.08041912723196393
1776,,0.08248959711815129
1777,,0.0834613867038548
1778,,0.08713706755567549
1779,,0.09641016537298604
1780,,0.10978652043414185
1781,,0.12254642112792194
1782,,0.13123596171929308
1783,,0.022755276358688816
1784,,-0.2864310655984604
1785,,-0.5040412416225398
1786,,-0.4992591118897915
1787,,-0.4230620399783186
1788,,-0.3253547207897556
1789,,-0.226899604037633
1790,,-0.13980327790749122
1791,,-0.06988569890990032
1792,,-0.016757722838850523
1793,,0.022039047186107358
1794,,0.048636780962570986
1795,,0.0654501580789129
1796,,0.06666071491017962
1797,,0.050949388446170765
1798,,0.03754832997285932
1799,,0.037725418065312426
1800,,0.045762264125991554
1801,,0.05718261946927761
1802,,0.07013692227200541
1803,,0.08303237936600469
1804,,0.09443943875622547
1805,,0.10318645008308384
1806,,0.10894393490854187
1807,,0.11180558336886015
1808,,0.11204780317836893
1809,,-0.11160925753566786
1810,,-0.4257773231786864
1811,,-0.5101695479509801
1812,,-0.44604262710901554
1813,,-0.3481556698534854
1814,,-0.25434167108098216
1815,,-0.3936691509811455
1816,,-0.7632074090084969
1817,,-0.9311960789405753
1818,,-0.8299668230872352
1819,,-0.6636056904561468
1820,,-0.5060347959119981
1821,,-0.3819543640845773
1822,,-0.29037808032249074
1823,,-0.24077378782272155
1824,,-0.20595113104822718
1825,,-0.15398159122710461
1826,,-0.09892259519215252
1827,,-0.049002113827500283
1828,,-0.007077780514113917
1829,,0.02595049966869421
1830,,0.050264442695522306
1831,,-0.08499875868106228
1832,,-0.28604882726814423
1833,,-0.33406640631147205
1834,,-0.28473190488922184
1835,,-0.32395927015569786
1836,,-0.40698502841459433
1837,,-0.3816734348681609
1838,,-0.29414948234787297
1839,,-0.20294128537959852
1840,,-0.12626981598169465
1841,,-0.06705235904399845
1842,,-0.02378596576564028
1843,,0.006698338422565772
1844,,0.02820816409954643
1845,,0.044240105457910094
1846,,0.04628833753077356
1847,,0.04260207330479067
1848,,0.04960752523123739
1849,,0.0631189339764432
1850,,0.07749513663757268
1851,,0.09000765493948741
1852,,0.09949908377843866
1853,,0.09610351765535771
1854,,0.08118930696869439
1855,,0.07494721477711669
1856,,0.07777679145871058
1857,,0.07069855554352525
1858,,0.06553716634816385
1859,,0.07531702507957845
1860,,0.0898559950788444
1861,,0.0988266536123597
1862,,0.05592418581508797
1863,,0.0029183104822709076
1864,,0.0009857988912118643
1865,,0.022971627317214475
1866,,0.048078577691147054
1867,,0.07012091265111677
1868,,0.0889003060946104
1869,,0.10572292786016368
1870,,0.1203019773188915
1871,,0.13272146078859093
1872,,0.1424526187284897
1873,,0.13560882149413223
1874,,0.12592443118786595
1875,,0.12622994266759271
1876,,0.12705148938445537
1877,,0.13059531940359423
1878,,0.13653025276571296
1879,,0.14231282718480234
1880,,0.14524346867464144
1881,,0.14711479857776782
1882,,0.1525656569442245
1883,,0.11920350982058214
1884,,-0.023360721341699465
1885,,-0.13593389300936085
1886,,-0.12648580754726832
1887,,-0.08624062054060497
1888,,-0.041510593556193236
1889,,0.005276450931666253
1890,,0.03465982036539465
1891,,0.041777180737673794
1892,,0.05391055383189564
1893,,0.08375061990302372
1894,,0.11649233554545899
1895,,0.14233843292271126
1896,,0.16019307760728585
1897,,0.17207820734379536
1898,,0.18036672078372912
1899,,0.18599749054287437
1900,,0.18972056472335802
1901,,0.19222993173137712
1902,,0.1811469158601081
1903,,0.12197956308433698
1904,,0.06829940128791061
1905,,0.07246448783305455
1906,,0.10181287130390752
1907,,0.12182395706221126
1908,,0.136141859940687
1909,,0.15748758963661094
1910,,0.1765824084011955
1911,,0.19069491909880493
1912,,0.16834818175014885
1913,,0.12602820320461933
1914,,0.11698191675283225
1915,,0.13923252234288908
1916,,0.17064585281978617
1917,,0.19955923745113954
1918,,0.2244114710528615
1919,,0.24463211643710453
1920,,0.25858091695167035
1921,,0.2685650806087585
1922,,0.26852913683753393
1923,,0.2637003573112012
1924,,0.26788016460391934
1925,,0.27745644687985666
1926,,0.28823578550733214
1927,,0.2997146495412186
1928,,0.3075047967753593
1929,,0.3004540122132891
1930,,0.2991546056199093
1931,,0.3115478787587414
1932,,0.3118678250181792
1933,,0.31122031059959526
1934,,0.3205995523607633
1935,,0.33169741122691776
1936,,0.34503728536421224
1937,,0.3586075589367356
1938,,0.36995659098793693
1939,,0.3795272558322438
1940,,0.38563796475873713
1941,,0.38846191948172604
1942,,0.3895815838059978
1943,,0.38961980683372477
1944,,0.39053660132462337
1945,,0.3962689062895488
1946,,0.40603093958379033
1947,,0.4172634290931791
1948,,0.42925503831612016
1949,,0.4400188698462344
1950,,0.4465166870589208
1951,,0.44732321466908287
1952,,0.4464759196531096
1953,,0.4468440858986982
1954,,0.4487810985661662
1955,,0.45335528098573163
1956,,0.46286682103755106
1957,,0.4784965884400472
1958,,0.4963101093844325
1959,,0.510695912217569
1960,,0.5205567775642247
1961,,0.5233899475788982
1962,,0.510215784611902
1963,,0.44055692315935924
1964,,0.3558823893345607
1965,,0.3230683539029071
1966,,0.3437629412619973
1967,,0.37522020793736555
1968,,0.3987557158431192
1969,,0.431925796645889
1970,,0.46527365853873276
1971,,0.4858776260988694
1972,,0.5045792646438065
1973,,0.5342176762196373
1974,,0.5584425285271772
1975,,0.561559545609632
1976,,0.5701995506636635
1977,,0.6009055718690918
1978,,0.6402597646836676
1979,,0.6811465472239879
1980,,0.716087137066097
1981,,0.7447509280175179
1982,,0.7502379573500906
1983,,0.7139120958871134
1984,,0.689570996273421
1985,,0.7108834322219004
1986,,0.7454945357274183
1987,,0.7825341243482449
1988,,0.8267434152788591
1989,,0.8769978234870596
1990,,0.9255415955920812
1991,,0.9282468174809777
1992,,0.8295349380060659
1993,,0.7469978975735373
1994,,0.7752842621168803
1995,,0.8471983429078073
1996,,0.9192307861291122
1997,,0.9842849968199224
1998,,1.0448262813514146
1999,,1.1022421321657287
2000,,1.1546221876304157
2001,,1.1992974213946475
2002,,1.2379665054067193
2003,,1.2679960479437633
2004,,1.289664625484666
2005,,1.3060195525718992
2006,,1.3184188401763737
2007,,1.3309957334382239
2008,,1.3465848801210472
2009,,1.3640094825659657
2010,,1.3857403812279288
2011,,1.4106884291120547
2012,,1.4376146417186275
2013,,1.4683940590645277
2014,,1.4991464612642393
2015,,1.527868050851642
2016,,1.554433031123725
2017,,1.580571559304677
2018,,1.6061868809190198
2019,,1.6304812049954844
2020,10.8531734,1.653808502981657
2021,10.71494327,1.6773811079370848
2022,10.57671315,1.7026335134832997
2023,10.43848303,1.7281975330452928
2024,10.3002529,1.7521206542814987
2025,10.16202278,1.7721178048226855
2026,10.02379266,1.787110658323213
2027,9.885562532,1.7978604439734645
2028,9.747332409,1.8059791310823723
2029,9.609102285,1.8123021248728322
2030,9.470872162,1.8179582265640655
2031,9.24659838,1.8241670361866869
2032,9.022324597,1.8313508333974675
2033,8.798050815,1.8408180609977045
2034,8.573777033,1.8538576452131867
2035,8.34950325,1.8684858538696878
2036,8.125229468,1.8831683323771418
2037,7.900955686,1.8964876396681947
2038,7.676681904,1.9077776634520054
2039,7.452408121,1.916879767698747
2040,7.228134339,1.923006934201805
2041,6.995124289,1.9267665725128897
2042,6.762114239,1.929416519266509
2043,6.529104189,1.9323703897809956
2044,6.296094139,1.9364793232245598
2045,6.063084089,1.9432674412219422
2046,5.830074039,1.9526578098312346
2047,5.597063989,1.9635778649280469
2048,5.364053939,1.974385073817907
2049,5.131043889,1.9823611519108693
2050,4.898033839,1.9860996565308568
2051,4.695291905,1.9868431073547594
2052,4.49254997,1.9862072706058052
2053,4.289808036,1.9847956690853796
2054,4.087066102,1.9838579438088366
2055,3.884324167,1.9849959173918874
2056,3.681582233,1.9888524185878085
2057,3.478840298,1.9936295878606403
2058,3.276098364,1.9979790271232853
2059,3.073356429,2.0020776262907987
2060,2.870614495,2.0044936140943097
2061,2.705606987,2.004437765980595
2062,2.54059948,2.0027425153955303
2063,2.375591972,2.0004376311714616
2064,2.210584465,1.9983025501325489
2065,2.045576957,1.9968952700669735
2066,1.88056945,1.997682511336673
2067,1.715561942,2.0011007611060165
2068,1.550554435,2.0057156006358263
2069,1.385546927,2.009501387351401
2070,1.22053942,2.0109976544658252
2071,1.008913746,2.0097350791977613
2072,0.797288072,2.0065436034199013
2073,0.585662398,2.0025325067397897
2074,0.374036724,1.997734461474686
2075,0.16241105,1.992440539293302
2076,-0.049214624,1.987037916213581
2077,-0.260840298,1.9820949064200457
2078,-0.472465972,1.9786540743660916
2079,-0.684091646,1.9769782898188013
2080,-0.89571732,1.9763448250936497
2081,-1.034780434,1.9754684674915086
2082,-1.173843547,1.973581860237175
2083,-1.312906661,1.9700174537519355
2084,-1.451969775,1.9649017758575669
2085,-1.591032888,1.9581411306745222
2086,-1.730096002,1.949867552056408
2087,-1.869159116,1.9415268837406914
2088,-2.008222229,1.9338380064832625
2089,-2.147285343,1.9276174585043568
2090,-2.286348457,1.923912817771469
2091,-2.29269074,1.922302142627046
2092,-2.299033024,1.922279618345353
2093,-2.305375308,1.921731215410207
2094,-2.311717592,1.9182424155460667
2095,-2.318059875,1.9121805976806077
2096,-2.324402159,1.9042267371713562
2097,-2.330744443,1.8954456306017704
